fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_depth	neg_bagging_fraction	pos_bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220531 030818	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0917918796148733	0.581198551409179	2248	1010	0.0205167099486668	19	0.977357308984501	0.816992592450697	4	8.82704864030477	6279000	36
20220531 030836	binary	custom	TRUE	TRUE	FALSE	-100	31	86	TRUE	240007	0.263189672282373	0.975312948116916	633	237	0.0479246621757435	-1	0.631955298294197	0.940817182266619	11	9.62576136590121	6283000	37
20220531 030905	binary	custom	TRUE	TRUE	FALSE	-100	31	364	TRUE	240007	0.289647027353873	0.340768082472496	881	709	0.00955008712747561	22	0.125516575249494	0.911165296215331	26	4.34235082157783	8868000	38
20220531 030920	binary	custom	TRUE	TRUE	FALSE	-100	31	105	TRUE	240007	0.298615031430731	0.126608793229098	5580	318	0.0490500372528913	23	0.940854324997053	0.908978884690441	15	1.05811079998821	11620000	39
20220531 030926	binary	custom	TRUE	TRUE	FALSE	-100	31	24	TRUE	240007	0.0865088011216721	0.986379581600777	7816	499	0.0208536310996957	16	0.172896505081444	0.959343307724921	2	6.33724153751612	-15952000	40
20220531 030948	binary	custom	TRUE	TRUE	FALSE	-100	31	182	TRUE	240007	0.171077383932027	0.840921420794794	4100	768	0.0382269531070167	26	0.574465315009341	0.925414354644215	10	1.52181774100561	12586000	41
20220531 031019	binary	custom	TRUE	TRUE	FALSE	-100	31	330	TRUE	240007	0.140583777414812	0.825699588764875	4732	896	0.0286491117081401	24	0.870837561108109	0.919733324827078	24	4.00613555821922	12509000	42
20220531 031050	binary	custom	TRUE	TRUE	FALSE	-100	31	88	TRUE	240007	0.079390983905049	0.632456793397898	186	790	0.0470585739916698	20	0.405852241670049	0.912062374106405	9	2.33524880083358	12297000	43
20220531 031103	binary	custom	TRUE	TRUE	FALSE	-100	31	26	TRUE	240007	0.179438709082516	0.58807581130437	2221	543	0.038864995616078	27	0.895870597565879	0.896969504980654	17	0.7974288480186	12152000	44
20220531 031132	binary	custom	TRUE	TRUE	FALSE	-100	31	419	TRUE	240007	0.211758678783163	0.863654097969337	3531	620	0.0408742420318126	10	0.531371176459388	0.874364272499197	10	7.42404110134141	12049000	45
20220531 031143	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	240007	0.0551130596515033	0.882245576186723	6668	957	0.037335327947892	26	0.781213640731592	0.97662237539399	30	9.17824021656661	6627000	46
20220531 031203	binary	custom	TRUE	TRUE	FALSE	-100	31	319	TRUE	240007	0.24647558421567	0.900314071701198	7275	472	0.0274688376077478	19	0.571465230429472	0.893231817847607	11	2.18238423883302	9550000	47
20220531 031240	binary	custom	TRUE	TRUE	FALSE	-100	31	311	TRUE	240007	0.0813935919340052	0.606013773967988	909	719	0.0468359318270694	19	0.454598430860496	0.843900220333478	11	6.64195474681087	12747000	48
20220531 031302	binary	custom	TRUE	TRUE	FALSE	-100	31	258	TRUE	240007	0.229027506563465	0.747599839237221	2934	538	0.0423010576376955	10	0.586448661186241	0.870161467929325	8	3.80744407363813	12664000	49
20220531 031318	binary	custom	TRUE	TRUE	FALSE	-100	31	75	TRUE	240007	0.202010384864594	0.808913035545115	762	741	0.0375187037357113	19	0.510634167429454	0.953358215689981	25	1.76658100284553	12207000	50
20220531 031336	binary	custom	TRUE	TRUE	FALSE	-100	31	97	TRUE	240007	0.156838171740403	0.670768780498952	1978	1000	0.0204869748233377	29	0.865471411109154	0.85653838792282	14	1.05045402231832	13515000	51
20220531 031352	binary	custom	TRUE	TRUE	FALSE	-100	31	81	TRUE	240007	0.217477834332664	0.818481287661027	2577	701	0.0155224123078195	23	0.917520990244891	0.889532881337837	18	1.02468978203297	13189000	52
20220531 031437	binary	custom	TRUE	TRUE	FALSE	-100	31	583	TRUE	240007	0.206273417306811	0.493331243721755	2968	936	0.0489591607665363	8	0.374215470552632	0.857394796844125	2	5.29968547754359	11480000	53
20220531 031456	binary	custom	TRUE	TRUE	FALSE	-100	31	252	TRUE	240007	0.288469946468339	0.758887388847929	1981	591	0.043553940321958	7	0.448597748712585	0.914055813433288	8	3.42187305337814	11911000	54
20220531 031535	binary	custom	TRUE	TRUE	FALSE	-100	31	382	TRUE	240007	0.155019129692851	0.791254479784698	3490	752	0.0200981109238021	28	0.805403882068766	0.881292419511589	5	3.83398744855155	12743000	55
20220531 031545	binary	custom	TRUE	TRUE	FALSE	-100	31	87	TRUE	240007	0.212384773331303	0.639341510374917	4372	310	0.0412899800307563	9	0.490129581180213	0.897422716674342	14	0.446392094458714	12639000	56
20220531 031605	binary	custom	TRUE	TRUE	FALSE	-100	31	130	TRUE	240007	0.177985077905741	0.734697387507305	1253	947	0.0298922479550679	25	0.583930658907875	0.872957486981186	5	2.10133334217023	12163000	57
20220531 031618	binary	custom	TRUE	TRUE	FALSE	-100	31	39	TRUE	240007	0.119650888620696	0.760811934932351	6481	813	0.0222976053296825	23	0.890997289063037	0.887691005939419	5	1.098821532239	12863000	58
20220531 031639	binary	custom	TRUE	TRUE	FALSE	-100	31	331	TRUE	240007	0.156550741491001	0.204983310216115	1500	589	0.0417285949386457	20	0.225283854463519	0.94809218538543	3	0.0510196056143518	4534000	59
20220531 031649	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	240007	0.272818077887153	0.810504774277571	3369	366	0.0345524635681274	13	0.717105241425442	0.864269765994189	17	1.24383929479882	12787000	60
20220531 031711	binary	custom	TRUE	TRUE	FALSE	-100	31	123	TRUE	240007	0.252746022931147	0.745459199455689	1269	706	0.0194003895613981	19	0.632835087253064	0.866476404982634	2	3.29432202155833	11781000	61
20220531 031736	binary	custom	TRUE	TRUE	FALSE	-100	31	286	TRUE	240007	0.225441950221961	0.847713687917627	2769	796	0.043485281804563	27	0.609025954045699	0.848716200673931	18	6.62171591751808	11641000	62
20220531 031759	binary	custom	TRUE	TRUE	FALSE	-100	31	262	TRUE	240007	0.169799297827407	0.198875273464263	854	304	0.0450265455121237	15	0.360802147200918	0.829128767828618	9	4.1554175024891	11891000	63
20220531 031812	binary	custom	TRUE	TRUE	FALSE	-100	31	24	TRUE	240007	0.277977270418806	0.553159288227986	4124	823	0.0234804271936996	18	0.989433584141175	0.885567541781323	16	1.42944343919933	12272000	64
20220531 031830	binary	custom	TRUE	TRUE	FALSE	-100	31	98	TRUE	240007	0.253605682701958	0.86996101925094	2209	967	0.0272373254267913	25	0.89211025889888	0.965046711075916	9	1.79256181167583	12408000	65
20220531 031844	binary	custom	TRUE	TRUE	FALSE	-100	31	192	TRUE	240007	0.161466891421671	0.733476596864547	6865	277	0.0467737389716327	9	0.511889880062114	0.830070923238693	22	1.81235192166067	11796000	66
20220531 031855	binary	custom	TRUE	TRUE	FALSE	-100	31	67	TRUE	240007	0.239062778375878	0.764511485284511	2835	688	0.034836183713396	6	0.539371796633813	0.885357349398729	4	1.11206993209393	13244000	67
20220531 031906	binary	custom	TRUE	TRUE	FALSE	-100	31	55	TRUE	240007	0.292925086277017	0.764315734723089	2241	130	0.0369286075215205	17	0.509826425927297	0.841660661964938	8	1.41919695611378	11924000	68
20220531 031929	binary	custom	TRUE	TRUE	FALSE	-100	31	86	TRUE	240007	0.249054128886708	0.726149986662476	5035	1000	0.0176297322251444	15	0.867879619702786	0.959011160468471	9	0.401387095474157	12970000	69
20220531 031947	binary	custom	TRUE	TRUE	FALSE	-100	31	91	TRUE	240007	0.212246498497442	0.334504826601172	4325	959	0.0434559503443876	13	0.794084000274154	0.925513331464196	19	1.96943394453571	12989000	70
20220531 032020	binary	custom	TRUE	TRUE	FALSE	-100	31	204	TRUE	240007	0.167787425183076	0.728096430971647	2715	1019	0.0368964278785754	24	0.853361252565968	0.865282794418046	30	7.68124068020839	12550000	71
20220531 032030	binary	custom	TRUE	TRUE	FALSE	-100	31	26	TRUE	240007	0.179736922960087	0.663608297838873	7197	704	0.0330159526963492	13	0.849955673831604	0.945664202799299	26	0.834859234378017	12734000	72
20220531 032105	binary	custom	TRUE	TRUE	FALSE	-100	31	291	TRUE	240007	0.216393454164138	0.424447695536539	5920	604	0.0463230603459317	24	0.830192277823523	0.878324929947981	23	4.21143347801473	12182000	73
20220531 032118	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0875474660849515	0.975996745273865	1954	1020	0.0280480989141858	29	0.799715581368732	0.91298114386703	27	8.08862720472412	6412000	74
20220531 032130	binary	custom	TRUE	TRUE	FALSE	-100	31	41	TRUE	240007	0.260008439220471	0.618058900396738	2921	945	0.0346539309293828	21	0.768744222990394	0.908475096765853	26	1.36843116269637	12292000	75
20220531 032148	binary	custom	TRUE	TRUE	FALSE	-100	31	149	TRUE	240007	0.0914885644306105	0.497736998518283	2195	339	0.0430675590620946	9	0.364230012404233	0.813608040708576	8	0.706257192625706	13736000	76
20220531 032208	binary	custom	TRUE	TRUE	FALSE	-100	31	172	TRUE	240007	0.146726363853476	0.859222749573701	2469	814	0.0352099581726991	12	0.588302550516923	0.951701239305575	9	0.112833892743169	5083000	77
20220531 032223	binary	custom	TRUE	TRUE	FALSE	-100	31	140	TRUE	240007	0.220326991171174	0.412019833620786	3746	528	0.0430282196089945	3	0.440758310254544	0.886345093427497	7	1.52828716145366	11568000	78
20220531 032256	binary	custom	TRUE	TRUE	FALSE	-100	31	362	TRUE	240007	0.201101633899007	0.642636944985372	4678	700	0.0339247326258836	26	0.7298996903652	0.84715316868476	6	4.2084804343631	12287000	79
20220531 032311	binary	custom	TRUE	TRUE	FALSE	-100	31	95	TRUE	240007	0.207180814262306	0.708939531663067	5324	666	0.040071692705592	20	0.907678393332097	0.941252443174561	22	2.47432811781105	12477000	80
20220531 032347	binary	custom	TRUE	TRUE	FALSE	-100	31	367	TRUE	240007	0.260680311847467	0.559384756134359	3466	1012	0.0470076417545173	16	0.586805278662779	0.811121047640145	23	7.58246254415277	11906000	81
20220531 032357	binary	custom	TRUE	TRUE	FALSE	-100	31	106	TRUE	240007	0.210588510303106	0.80483603590196	4093	559	0.0423457956801232	10	0.388041698788931	0.825585484141267	13	1.06448745015926	12144000	82
20220531 032414	binary	custom	TRUE	TRUE	FALSE	-100	31	96	TRUE	240007	0.162631008564472	0.347276405156983	6710	122	0.0397410023109452	11	0.794719536828843	0.895889345885347	24	1.07297943137017	13455000	83
20220531 032429	binary	custom	TRUE	TRUE	FALSE	-100	31	95	TRUE	240007	0.1146736445845	0.449600735489388	5690	246	0.042984612754078	26	0.542597942669202	0.87881150914524	24	0.980623228379851	13234000	84
20220531 032444	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	240007	0.24248754120092	0.24353145601791	470	567	0.0485122418746822	14	0.486401506354435	0.927114960665263	21	5.55303010232721	9892000	85
20220531 032452	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.124181499036079	0.779304627973359	6514	991	0.0418205911422358	16	0.759850875683063	0.813337695946737	18	7.46438606158039	5377000	86
20220531 032518	binary	custom	TRUE	TRUE	FALSE	-100	31	325	TRUE	240007	0.165466238715757	0.715058764427119	3181	694	0.0391747597667051	27	0.571820412245857	0.877591317995383	29	4.46021574547963	12225000	87
20220531 032549	binary	custom	TRUE	TRUE	FALSE	-100	31	207	TRUE	240007	0.239019345050188	0.428730358745795	2949	1024	0.0344970840990638	25	0.872965156100104	0.869748872856515	22	5.23470946001342	11979000	88
20220531 032612	binary	custom	TRUE	TRUE	FALSE	-100	31	319	TRUE	240007	0.264999037895063	0.638564314383212	4835	791	0.0409578544879353	30	0.530503904667548	0.845103367621857	12	1.86215893550909	12423000	89
20220531 032624	binary	custom	TRUE	TRUE	FALSE	-100	31	2	TRUE	240007	0.041801300876133	0.311054954864446	125	278	0.0438311513080694	8	0.168080338637817	0.822742382846034	23	2.72678080649876	10876000	90
20220531 032633	binary	custom	TRUE	TRUE	FALSE	-100	31	47	TRUE	240007	0.183951598750712	0.610291739436242	5861	66	0.0374214381270225	5	0.547481757851224	0.884500600511052	29	0.967556459747474	13227000	91
20220531 032646	binary	custom	TRUE	TRUE	FALSE	-100	31	61	TRUE	240007	0.250038350402954	0.598618563987727	5804	144	0.033830251659909	25	0.835923984452728	0.928421450888103	23	1.41888232785623	13308000	92
20220531 032759	binary	custom	TRUE	TRUE	FALSE	-100	31	586	TRUE	240007	0.0245459628845678	0.300037383116568	3479	388	0.0451268052742702	26	0.816493182922953	0.880432689057925	25	1.89452822122877	13837000	93
20220531 032830	binary	custom	TRUE	TRUE	FALSE	-100	31	331	TRUE	240007	0.224324551157902	0.72901579421322	5765	998	0.0176744233633508	30	0.911864085445289	0.9196112856958	15	1.78981284484184	12411000	94
20220531 032841	binary	custom	TRUE	TRUE	FALSE	-100	31	29	TRUE	240007	0.282114890077766	0.80195345272008	4026	651	0.0194399474897546	10	0.856759478034579	0.852423257006526	6	1.14150731112264	12236000	95
20220531 032855	binary	custom	TRUE	TRUE	FALSE	-100	31	50	TRUE	240007	0.279945746939136	0.284755919183652	1563	351	0.0422843115080165	16	0.849651190948693	0.872200508312581	23	1.9964915009301	12127000	96
20220531 032903	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	240007	0.147235721618343	0.578647572102874	22	857	0.0438812569163604	3	0.429462992104611	0.948441930641803	18	7.55675933394389	3433000	97
20220531 032938	binary	custom	TRUE	TRUE	FALSE	-100	31	459	TRUE	240007	0.191762008998036	0.698307118569098	4264	682	0.0476667694264438	28	0.478293333015314	0.856875175765238	2	5.71897557645763	11042000	98
20220531 032949	binary	custom	TRUE	TRUE	FALSE	-100	31	27	TRUE	240007	0.15883458989992	0.360678535917956	4929	416	0.0470759290650317	21	0.715649246852498	0.899460101110946	23	1.42506092251853	13377000	99
20220531 033013	binary	custom	TRUE	TRUE	FALSE	-100	31	207	TRUE	240007	0.15814428638163	0.77595738590696	1577	885	0.0367467206133975	23	0.56552934340849	0.851161714241353	27	7.85840021142521	12100000	100
20220531 033051	binary	custom	TRUE	TRUE	FALSE	-100	31	190	TRUE	240007	0.0537446590699885	0.503412470683533	4959	322	0.0387853932910081	24	0.764574193576803	0.887128431583406	20	1.81936543242913	12929000	101
20220531 033104	binary	custom	TRUE	TRUE	FALSE	-100	31	6	TRUE	240007	0.0367295412390946	0.486139946516136	4621	453	0.0491443055579635	12	0.353156345370352	0.800086330154198	6	3.19521302879476	9364000	102
20220531 033124	binary	custom	TRUE	TRUE	FALSE	-100	31	147	TRUE	240007	0.138132250621499	0.213731981608366	5366	619	0.043326368010899	26	0.847727626040312	0.973860650137646	27	1.55935529019578	13298000	103
20220531 033132	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0525737390178673	0.100950971672322	1326	583	0.0461797110106938	21	0.139745785591584	0.8343546194028	14	5.56595000740351	-10856000	104
20220531 033144	binary	custom	TRUE	TRUE	FALSE	-100	31	195	TRUE	240007	0.187301149426773	0.30537662910531	49	166	0.0396286530612275	1	0.227644157167241	0.83963337304696	21	0.189357217896402	12135000	105
20220531 033158	binary	custom	TRUE	TRUE	FALSE	-100	31	122	TRUE	240007	0.270565383025295	0.88707980717865	6204	233	0.0361399530157614	8	0.822959757432627	0.949798740825279	29	1.90481495406633	12268000	106
20220531 033219	binary	custom	TRUE	TRUE	FALSE	-100	31	186	TRUE	240007	0.27611074880583	0.531738118718285	1545	660	0.0421081058703889	19	0.382773242866245	0.856426663457615	5	3.14162759867478	10825000	107
20220531 033225	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.125163113532787	0.366158863832046	257	37	0.0392488603211471	1	0.138639046644245	0.972265834761167	25	2.63777399759795	5377000	108
20220531 033235	binary	custom	TRUE	TRUE	FALSE	-100	31	22	TRUE	240007	0.293347936141488	0.802487632098196	3385	728	0.0285116726241953	21	0.861544784849349	0.864280754001808	10	0.387782064724041	10416000	109
20220531 033300	binary	custom	TRUE	TRUE	FALSE	-100	31	277	TRUE	240007	0.102678457627512	0.339147531588196	499	308	0.0435710334804324	8	0.313354370436742	0.83322915098072	21	1.43489499838472	12733000	110
20220531 033308	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	240007	0.25158095518229	0.768826776418113	6221	687	0.0441290883263217	25	0.539747236863947	0.917948589608968	28	1.33385770676577	12643000	111
20220531 033334	binary	custom	TRUE	TRUE	FALSE	-100	31	225	TRUE	240007	0.150069952479884	0.640246626430335	3948	609	0.031060838852591	22	0.841839977207555	0.85976961893008	30	3.78786865543488	12605000	112
20220531 033352	binary	custom	TRUE	TRUE	FALSE	-100	31	104	TRUE	240007	0.169852260281333	0.246225176733111	3627	433	0.0439172338489119	26	0.807669207320423	0.928372506879899	9	1.79619182905623	13335000	113
20220531 033435	binary	custom	TRUE	TRUE	FALSE	-100	31	308	TRUE	240007	0.069334567169757	0.404146223418869	4252	434	0.046367897172733	12	0.866196072505525	0.926975741904543	18	1.60712535628131	13506000	114
20220531 033457	binary	custom	TRUE	TRUE	FALSE	-100	31	182	TRUE	240007	0.199075870264035	0.605648180179617	1815	248	0.0480291075604456	15	0.523539461327804	0.831155053445271	7	6.49384624244571	11902000	115
20220531 033537	binary	custom	TRUE	TRUE	FALSE	-100	31	396	TRUE	240007	0.208059683389116	0.672411082351769	4045	632	0.0237506314459934	17	0.834746508126123	0.928007788094938	5	4.25502917270861	12358000	116
20220531 033552	binary	custom	TRUE	TRUE	FALSE	-100	31	79	TRUE	240007	0.194855235302376	0.264888633143456	5864	228	0.0224133593762675	18	0.907998104401377	0.956534463461904	18	0.851347886134428	13614000	117
20220531 033612	binary	custom	TRUE	TRUE	FALSE	-100	31	51	TRUE	240007	0.161282625467547	0.618074568723556	1141	266	0.0210688042137416	23	0.857284362489838	0.924149780008615	5	1.06824193792133	12573000	118
20220531 033632	binary	custom	TRUE	TRUE	FALSE	-100	31	150	TRUE	240007	0.16123191520023	0.768003662673416	5602	685	0.0198035005772597	27	0.964886406304781	0.98485041339057	20	0.635009537417272	13285000	119
20220531 033649	binary	custom	TRUE	TRUE	FALSE	-100	31	74	TRUE	240007	0.154246782415925	0.345146974062506	5240	154	0.0336674227152398	11	0.925015524897883	0.978871359631726	17	1.23025238753563	13645000	120
20220531 033714	binary	custom	TRUE	TRUE	FALSE	-100	31	14	TRUE	240007	0.0383598304654587	0.278307323662207	738	577	0.0461702357489295	24	0.787161915369694	0.954893093569629	25	3.29318422611333	13147000	121
20220531 033722	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.118986852179001	0.943603258953732	4139	615	0.0474008096046015	16	0.531938282337812	0.821278472692704	30	7.16871411008192	2980000	122
20220531 033735	binary	custom	TRUE	TRUE	FALSE	-100	31	75	TRUE	240007	0.120204219828698	0.236546780168252	6630	580	0.0451087215071229	8	0.550205434767798	0.822055692113043	24	0.986138873914929	13151000	123
20220531 033755	binary	custom	TRUE	TRUE	FALSE	-100	31	120	TRUE	240007	0.214984011699006	0.826522212567021	2500	957	0.0213499665710363	17	0.90201758957807	0.949518072268141	21	2.00207446724424	12510000	124
20220531 033810	binary	custom	TRUE	TRUE	FALSE	-100	31	42	TRUE	240007	0.201446589026506	0.645831275847006	619	961	0.041344564886374	25	0.490355015938359	0.985351481020653	22	1.05596581384414	13371000	125
20220531 033840	binary	custom	TRUE	TRUE	FALSE	-100	31	371	TRUE	240007	0.214361667016953	0.645906706260086	3026	768	0.0401243016736832	22	0.541242927909481	0.845455448179323	6	6.75768216164173	12103000	126
