fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 160202	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	20	TRUE	240007	0.267278660075527	0.999711510034742	5713	555	0.0150015188467243	12807000	59
20220529 160210	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	19	TRUE	240007	0.258231032111129	0.852877749826969	8000	1015	0.0128808036013501	12630000	60
20220529 160308	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	351	TRUE	240007	0.0238340457568604	0.268575733922364	1544	987	0.0141781223346734	13130000	61
20220529 160329	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	35	TRUE	240007	0.0800740619321218	0.477809124760487	1673	16	0.0149433487356052	13195000	62
20220529 160342	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	71	TRUE	240007	0.0839180181467795	0.799051792950091	6730	968	0.0149153916531374	12868000	63
20220529 160416	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	228	TRUE	240007	0.0343899000192086	0.284290109852811	7988	16	0.0130754688356095	13140000	64
20220529 160429	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	65	TRUE	240007	0.115543027284034	0.217164997421736	7964	17	0.0153988974736186	13194000	65
20220529 160437	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	27	TRUE	240007	0.241109353909451	0.866663226433878	7997	28	0.0167373115314659	12914000	66
20220529 160523	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	416	TRUE	240007	0.0312481360950838	0.242700328317439	7709	21	0.021736428593331	12815000	67
20220529 160552	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	195	TRUE	240007	0.0390703755335511	0.206968874564863	6087	44	0.0154326172320849	13440000	68
20220529 160644	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	244	TRUE	240007	0.0191952590157822	0.589091731749658	2794	16	0.0247393709399773	12565000	69
20220529 160657	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	52	TRUE	240007	0.102221012120889	0.998910973081438	2773	515	0.0231695810445223	12424000	70
20220529 160712	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	69	TRUE	240007	0.151814853537721	0.340482828596267	7997	603	0.0199789297762715	13210000	71
20220529 160720	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	26	TRUE	240007	0.2106543792431	0.998298697316366	7999	844	0.019703553671043	12607000	72
20220529 160738	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	96	TRUE	240007	0.0636600847604974	0.240921399171268	7991	956	0.0196128288378604	13174000	73
20220529 160812	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	68	TRUE	240007	0.0255450927408402	0.610242212900735	1435	695	0.0168550947593048	13346000	74
20220529 160842	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	142	TRUE	240007	0.024625351632856	0.637561126816753	3734	102	0.0123350486560255	12863000	75
20220529 160852	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	31	TRUE	240007	0.182999126675556	0.205085435410663	7998	865	0.017917292107754	12815000	76
20220529 160907	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	58	TRUE	240007	0.119878836107921	0.420749075414248	7986	22	0.0190197485847984	13208000	77
20220529 160918	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	51	TRUE	240007	0.257100913680583	0.20692376834925	7999	411	0.0221606325415196	12635000	78
20220529 160931	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	59	TRUE	240007	0.120770086660694	0.204451467498723	7997	850	0.0224873520172914	12629000	79
20220529 160941	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	25	TRUE	240007	0.29964544131047	0.610476529140324	6171	767	0.00840409642262676	10764000	80
20220529 160950	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	6	TRUE	240007	0.244452577302778	0.999775243866862	1398	1002	0.014933619475472	11632000	81
20220529 161008	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	51	TRUE	240007	0.0268910024856306	0.816660604653428	1258	16	0.0136672016741237	13544000	82
20220529 161044	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	179	TRUE	240007	0.0241534594899645	0.579767395807907	1290	22	0.0154983126982492	13601000	83
20220529 161204	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	288	TRUE	240007	0.011119337163574	0.711130382746831	1149	397	0.0142365318108814	13736000	84
20220529 161348	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	463	TRUE	240007	0.0100685187840936	0.459500637793758	2548	907	0.0157235672465125	13524000	85
20220529 161429	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	136	TRUE	240007	0.0225193475663244	0.71995815906187	1174	52	0.0139874365277902	13697000	86
20220529 161512	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	111	TRUE	240007	0.0260636767643267	0.689762828766659	1438	378	0.0150109634517574	13576000	87
