fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 174115	0	0	0	1	hist	lossguide	256	0	1	0.0103461548125377	0.896657885995676	6	134	0.0187478488692928	221	12380000	76
20220529 174202	0	0	0	1	hist	lossguide	256	0	1	0.0663703293708922	0.898110350299034	10	186	0.0169209352680461	39	13298000	77
20220529 174506	0	0	0	1	hist	lossguide	256	0	1	0.0100974874010619	0.271168087252988	6	551	0.0102894461237694	94	12611000	78
20220529 174841	0	0	0	1	hist	lossguide	256	0	1	0.0106073891585053	0.400460119660681	8	243	0.0123510636416799	250	13296000	79
20220529 175302	0	0	0	1	hist	lossguide	256	0	1	0.0100479680420159	0.909706821491797	10	296	0.0118644839180793	436	13671000	80
20220529 175635	0	0	0	1	hist	lossguide	256	0	1	0.0103279925379281	0.989362588605177	4	667	0.00838691768341136	47	12688000	81
20220529 175728	0	0	0	1	hist	lossguide	256	0	1	0.0748524623756271	0.999809854324938	4	866	0.0131630505928522	22	12596000	82
20220529 180111	0	0	0	1	hist	lossguide	256	0	1	0.0100008231008593	0.844934963410085	10	166	0.0122137021694397	314	13761000	83
20220529 180149	0	0	0	1	hist	lossguide	256	0	1	0.132689840400477	0.994008289740953	10	973	0.0142794666253844	18	12665000	84
20220530 014207	0	0	0	1	hist	lossguide	256	0	1	0.112005344930678	0.978477180285095	10	1003	0.0152849277479344	35	13100000	85
20220530 014235	0	0	0	1	hist	lossguide	256	0	1	0.299876659882036	0.562215756716549	10	3	0.0151675372898636	70	12567000	86
20220530 014315	0	0	0	1	hist	lossguide	256	0	1	0.0649751289819586	0.53765700020896	6	5	0.0122889705076741	125	13575000	87
20220530 014346	0	0	0	1	hist	lossguide	256	0	1	0.195778444512033	0.998630378913066	9	3	0.014341312246976	116	13187000	88
20220530 014443	0	0	0	1	hist	lossguide	256	0	1	0.0685468270832532	0.802884073004736	5	3	0.0122891591627903	301	12996000	89
20220530 014506	0	0	0	1	hist	lossguide	256	0	1	0.242292785217622	0.839911366108501	10	3	0.0164874945566687	66	12700000	90
20220530 014837	0	0	0	1	hist	lossguide	256	0	1	0.0106349235802103	0.578146851350141	10	813	0.013972049905079	245	13687000	91
20220530 014932	0	0	0	1	hist	lossguide	256	0	1	0.170360152204485	0.529361048945606	10	2	0.0154510736060816	333	13470000	92
20220530 015001	0	0	0	1	hist	lossguide	256	0	1	0.122863958909529	0.899531313268303	10	20	0.0156262045799662	17	13276000	93
20220530 015329	0	0	0	1	hist	lossguide	256	0	1	0.0100425301734205	0.464094456886199	10	814	0.0153982619933408	290	13348000	94
20220530 015403	0	0	0	1	hist	lossguide	256	0	1	0.181880031138373	0.561068055211764	10	1019	0.0154943950396806	13	12182000	95
20220530 015434	0	0	0	1	hist	lossguide	256	0	1	0.187751245762594	0.583127117138421	10	2	0.0218333995859478	153	12578000	96
20220530 015758	0	0	0	1	hist	lossguide	256	0	1	0.0100042814342863	0.737972053551293	10	906	0.0142780620120785	244	13781000	97
20220530 015839	0	0	0	1	hist	lossguide	256	0	1	0.0713299740540967	0.985870409988069	10	2	0.027706649071566	205	11823000	98
20220530 020224	0	0	0	1	hist	lossguide	256	0	1	0.0100031656356013	0.768762632214597	10	694	0.0142931086976572	310	13612000	99
20220530 020422	0	0	0	1	hist	lossguide	256	0	1	0.0197031963045098	0.801413480068363	10	249	0.0141261441563271	145	13527000	100
20220530 020518	0	0	0	1	hist	lossguide	256	0	1	0.0642402181658828	0.999872980890577	10	1016	0.0154084730650482	44	13504000	101
20220530 020827	0	0	0	1	hist	lossguide	256	0	1	0.0101705288580612	0.980653524232864	10	3	0.010532670275726	865	12511000	102
20220530 021134	0	0	0	1	hist	lossguide	256	0	1	0.0100945080236456	0.56025133833927	9	314	0.0125246848469407	159	13694000	103
20220530 021208	0	0	0	1	hist	lossguide	256	0	1	0.148268491321061	0.205038276920649	9	4	0.0144235326968894	95	13113000	104
20220530 021538	0	0	0	1	hist	lossguide	256	0	1	0.0100431477256389	0.560556157599145	6	743	0.01329949048809	174	13188000	105
20220530 021612	0	0	0	1	hist	lossguide	256	0	1	0.299986010272016	0.972910126728846	8	3	0.014500589942306	113	13097000	106
20220530 021710	0	0	0	1	hist	lossguide	256	0	1	0.0639130274393136	0.500197671029135	5	171	0.00868119680371338	49	12250000	107
20220530 021843	0	0	0	1	hist	lossguide	256	0	1	0.0246079959924433	0.516711695822878	9	196	0.0132406505357804	87	13295000	108
20220530 021942	0	0	0	1	hist	lossguide	256	0	1	0.0551699472080839	0.983741441558886	10	13	0.0204378386678157	130	12955000	109
20220530 022049	0	0	0	1	hist	lossguide	256	0	1	0.0746587602298742	0.999979722717351	6	2	0.021409672961922	397	12527000	110
20220530 022122	0	0	0	1	hist	lossguide	256	0	1	0.152790033502555	0.494242589450988	9	46	0.0143076710768847	15	12279000	111
20220530 022149	0	0	0	1	hist	lossguide	256	0	1	0.190137737668297	0.206529195114581	10	4	0.0152812886217318	77	13231000	112
20220530 022234	0	0	0	1	hist	lossguide	256	0	1	0.0662364069358598	0.200013738134495	10	31	0.0153449857326529	39	12507000	113
20220530 022331	0	0	0	1	hist	lossguide	256	0	1	0.183564210334363	0.624444882516318	10	2	0.0155636356955791	364	13734000	114
20220530 022702	0	0	0	1	hist	lossguide	256	0	1	0.0100021176686094	0.818419478831246	10	1015	0.0137231517413742	245	13728000	115
20220530 022746	0	0	0	1	hist	lossguide	256	0	1	0.122039954001542	0.201000668821769	7	100	0.0115399732604186	26	12654000	116
20220530 023045	0	0	0	1	hist	lossguide	256	0	1	0.0103041805778473	0.912449901534929	10	564	0.0125797721454707	140	13566000	117
20220530 023133	0	0	0	1	hist	lossguide	256	0	1	0.0618900111904626	0.596480719555489	10	998	0.0141009165477877	38	13310000	118
20220530 023521	0	0	0	1	hist	lossguide	256	0	1	0.0100501550709916	0.903837123732379	10	910	0.0140561372172857	324	13508000	119
20220530 023610	0	0	0	1	hist	lossguide	256	0	1	0.171483753618005	0.201559389747608	8	2	0.0164651156660738	321	13543000	120
20220530 023647	0	0	0	1	hist	lossguide	256	0	1	0.102154852335705	0.999637621487006	10	421	0.0181558450162508	21	12574000	121
