fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	max_depth	min_gain_to_split	bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220530 034647	binary	custom	TRUE	TRUE	FALSE	-100	31	6	TRUE	240007	0.0114115756329556	0.602364465058781	5251	222	0.0455937626701699	6.71631713533619	75.432703117743	5	0.504379196010026	0.241819139225602	2	153.223093798644	10129000	25
20220530 034828	binary	custom	TRUE	TRUE	FALSE	-100	31	1437	TRUE	240007	0.051039662433371	0.825887462714066	1161	74	0.0391841343847369	91.9918496307218	31.4964516224184	8	0.00684922417470564	0.743156538087836	14	217.226783564902	6510000	26
20220530 034833	binary	custom	TRUE	TRUE	FALSE	-100	31	12	TRUE	240007	0.0972645410068799	0.283468319064317	4156	680	0.048766746163407	77.2916471052061	64.918340430692	5	0.799922706569002	0.251629593020577	16	206.182313531091	-29479000	27
20220530 034838	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0669478593571694	0.752609232370742	332	639	0.0241348208004234	56.9984165713928	10.0282226820127	3	0.613075027669159	0.0172388906551835	27	226.242570857427	-9493000	28
20220530 034842	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.085611286326069	0.793927679331197	6943	248	0.0105839058527231	86.7724744404162	22.1014085099644	15	0.692510215002888	0.087590833286716	4	40.0807288056791	0	29
20220530 034914	binary	custom	TRUE	TRUE	FALSE	-100	31	318	TRUE	240007	0.190193780595679	0.26347685836566	646	168	0.0481652378517336	89.6747565158876	39.6772620025634	19	0.594277164816352	0.953632026881678	1	83.0505590512533	6059000	30
20220530 034925	binary	custom	TRUE	TRUE	FALSE	-100	31	3	TRUE	240007	0.0762748115577657	0.395742407285919	7682	499	0.0260484118158072	59.3981830529325	36.7879939512932	24	0.873758474166001	0.819293728049767	30	140.963646823987	-32996000	31
20220530 034950	binary	custom	TRUE	TRUE	FALSE	-100	31	701	TRUE	240007	0.296591223163074	0.954367030481808	7278	579	0.0300250526410916	51.3701414121897	91.9863238668768	10	0.741582199717717	0.340930995191836	27	127.039819302599	1387000	32
20220530 035002	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0795567990536801	0.357418545188072	3485	161	0.01646411973557	11.9680600148664	43.9254791960896	9	0.340868416271405	0.924075701075102	9	31.8136018430671	-6118000	33
20220530 035007	binary	custom	TRUE	TRUE	FALSE	-100	31	24	TRUE	240007	0.25945689986683	0.231345328083262	4429	321	0.00989841309973498	47.1851749913185	51.4175801537931	14	0.195254340370108	0.107596047222614	12	100.99027997431	-24806000	34
20220530 035012	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.226995835226359	0.902376107044984	2007	932	0.0368768264679804	38.7052671872273	59.9398724725082	8	0.264440113469997	0.380343232153488	8	21.283645428536	322000	35
