Feature	Gain	Cover	Frequency	pos
mcuentas_saldo_min12_delta3	0.00278906868903026	0.000655320124745183	0.000820120284308365	32
ctarjeta_visa_trx_ratioavg12	0.00276027683149954	0.00180508261567817	0.000656096227446692	33
mcomisiones_mantenimiento_ratioavg12	0.00270707014541015	0.00245582494547217	0.00185893931109896	34
mprestamos_personales_ratiomax12_delta3	0.00265212184945878	0.00212997777092316	0.000820120284308365	35
ccaja_ahorro	0.00249087913189946	0.00113412169151644	0.00114816839803171	36
mdescubierto_preacordado_delta1	0.00246039866326031	0.00451286183312445	0.00131219245489338	37
mcuenta_corriente_rank_ratioavg12	0.00239229708384097	0.00044319874556535	0.000874794969928923	38
Visa_Finiciomora	0.00206362668885352	0.00524985306071556	0.00185893931109896	39
mpayroll_vs_cpayroll	0.001954569561623	0.000672250538963617	0.000492072170585019	40
mv_consumo_vs_trx	0.00175285827946425	0.000654523399370197	0.000656096227446692	41
mcaja_ahorro_rank_lag3	0.0017528280634429	0.000161985071790408	0.000328048113723346	42
mpayroll_vs_cpayroll_ratioavg12_delta2	0.00173559486886895	0.00304608366586687	0.00109349371241115	43
mv_tarjeta_consumo	0.00173524917307163	0.000512446334089481	0.000328048113723346	44
mcaja_ahorro_dolares_delta1	0.00169585085366272	0.00456765695838455	0.00185893931109896	45
mdescubierto_preacordado_tend12_delta1	0.00161344880750763	0.000333304659097062	0.000328048113723346	46
mpayroll_vs_cpayroll_rank	0.00160208691899472	0.000230685755607982	0.000601421541826135	47
mv_status01_max12	0.0015966805203098	0.00509372864676826	0.00125751776927283	48
mpayroll_rank	0.00154825169474599	0.00136869654725994	0.000929469655549481	49
mdescubierto_preacordado_ratioavg12	0.00153423446242797	0.000767803568682172	0.000382722799343904	50
mrentabilidad_avg12	0.00152152022099117	0.000366608454962436	0.000820120284308365	51
mprestamos_personales_rank_max12_lag3	0.00150745493602041	0.000330215660291505	0.000492072170585019	52
mcaja_ahorro_ratiomax12	0.00150098162978424	0.000414054126233796	0.000765445598687808	53
mpayroll_vs_cpayroll_delta1	0.00148158905927215	0.0010997477179228	0.000492072170585019	54
mcaja_ahorro	0.00147997078437094	0.00123792555520306	0.000492072170585019	55
mtarjeta_visa_consumo_rank_ratiomax12	0.00143227248310752	0.00149987602986925	0.00120284308365227	56
mprestamos_personales_delta3	0.00138905354931793	0.00488375437495492	0.00125751776927283	57
cpayroll_trx_rank	0.0013802816052597	0.000541135199498903	0.000601421541826135	58
ctrx_quarter_ratiomax12	0.00137470175427956	0.000212573757146985	0.000656096227446692	59
mcuentas_saldo_min12_delta2	0.00135752109245122	0.00135312326694296	0.00131219245489338	60
mcuentas_saldo_rank_ratiomax12	0.00135250445205718	0.000832854845167716	0.000820120284308365	61
mtransferencias_recibidas_rank	0.00129783544984712	0.00177709257294935	0.000546746856205577	62
mcuentas_saldo_min12_delta1	0.00126189016894188	0.00153209614418644	0.000984144341170038	63
ctrx_quarter_normalizado_ratioavg12	0.00124340514050286	0.00296694115330002	0.00120284308365227	64
cproductos_delta3	0.00124291021993034	0.00179250380742735	0.000546746856205577	65
tcallcenter_tend12	0.00115615272689879	0.00301069352982463	0.00147621651175506	66
mcuenta_corriente_ratioavg12	0.00115503329530222	0.000464170177893348	0.00169491525423729	67
mprestamos_personales_rank_avg12_lag3	0.00113931424432929	0.000926598363017661	0.000765445598687808	68
mcuentas_saldo_delta3	0.00111092248698605	0.000623241800537095	0.0010388190267906	69
mprestamos_personales_rank_min12_lag3	0.00108180418462627	0.00348967402220975	0.00120284308365227	70
mpagomiscuentas_rank	0.00106446391969376	0.00418728135901876	0.000929469655549481	71
