Feature	Gain	Cover	Frequency
Visa_mconsumospesos	0.00462108291166457	0.00700245871070613	0.0101426514854077
Master_mfinanciacion_limite	0.00460944418428467	0.00633363872127485	0.0111569166339484
Visa_Fvencimiento	0.0043557081944905	0.00653571635774874	0.0110587619421542
mvr_mpagospesos	0.0043526987927439	0.00541215752529521	0.00939013218165162
Visa_mfinanciacion_limite	0.00430749696609755	0.00928386770100752	0.0106007067137809
Visa_mpagospesos	0.00423057042969417	0.00566224198662307	0.00997906033241722
ccallcenter_trx	0.00390980169116969	0.00916895310975821	0.00314095013741657
ccaja_ahorro	0.00351891421755624	0.0199029553017665	0.00533307158748855
Visa_mlimitecompra	0.00346554127718062	0.0097108766426649	0.00870304933909174
Master_mlimitecompra	0.00344442542357516	0.00475702314507901	0.00834314880251276
mvr_mconsumospesos	0.00337880844171524	0.00516455086217138	0.00742703834576626
ctransferencias_recibidas	0.00329629738630449	0.0109931516430219	0.0060855908912446
mvr_Visa_mlimitecompra	0.00321037926700842	0.00736476661057501	0.00739432011516817
Visa_mpagominimo	0.00318872009758574	0.00711151069122977	0.00988090564062295
ccomisiones_mantenimiento	0.00316490431526431	0.00185657688300628	0.00353356890459364
mtransferencias_emitidas	0.00312940086705456	0.00890528198623174	0.00798324826593378
tcallcenter	0.00306762769463982	0.00568455247744019	0.00219212145007198
mextraccion_autoservicio	0.00299435000815306	0.00516963220374619	0.00713257427038346
mvr_Master_mlimitecompra	0.00290605669714597	0.00953883973266961	0.00768878419055098
mv_mlimitecompra	0.00277277434401111	0.0046612867531568	0.0067072372726083
Visa_cconsumos	0.00275599562736856	0.00269634536525171	0.00605287266064651
ccuenta_debitos_automaticos	0.00275375019230485	0.00938267557323256	0.00477686166732103
mvr_mconsumototal	0.00271060522853297	0.00331936010094542	0.00566025389346944
mcuenta_debitos_automaticos	0.00267774881600795	0.00696744589665007	0.00621646381363696
mv_mpagospesos	0.00263819165721249	0.00276492183185184	0.00500588928150766
mpagomiscuentas	0.00259531220068081	0.00799825633093907	0.00696898311739301
Visa_mconsumototal	0.0025490758965216	0.00436326143165261	0.00687082842559874
mv_mfinanciacion_limite	0.0025438613201448	0.00445579132182244	0.00644549142782358
mv_cconsumos	0.00251117807615523	0.00278884742657316	0.00510404397330192
mtarjeta_visa_debitos_automaticos	0.00248398470656426	0.00488065538075829	0.00657636435021594
mv_status01	0.00246912113048009	0.0070483783719315	0.00160319329930637
mdescubierto_preacordado	0.00237584567465404	0.0107942794776023	0.00287920429263185
mplazo_fijo_dolares	0.00236236788899345	0.0141194918822925	0.00301007721502421
ccajas_consultas	0.00232962510976517	0.0139970944229228	0.00287920429263185
ctarjeta_visa_debitos_automaticos	0.00225787437373119	0.00471705576531298	0.00444967936134014
ctransferencias_emitidas	0.00224115618165388	0.00887566899945974	0.00510404397330192
Master_mpagospesos	0.00216803666544519	0.00835543959991343	0.00569297212406753
Master_status	0.00214148301669211	0.0114423700670837	0.00281376783143568
Visa_mpagado	0.00197085502674815	0.00828255996879508	0.00572569035466562
mvr_mpagado	0.00191179941321919	0.00736884817500427	0.00510404397330192
mv_mconsumospesos	0.00182884216338689	0.00309635723188494	0.00503860751210575
Master_mpagominimo	0.00177131963927152	0.00385127761681188	0.00372987828818218
cmobile_app_trx	0.00146870727771155	0.00172824981753526	0.00258474021724905
ctarjeta_debito	0.00134421899027525	0.00251283060134626	0.00314095013741657
mv_mconsumototal	0.00131601917462325	0.00266890921284199	0.00340269598220128
ctarjeta_master	0.0012637034426604	0.000577652682134049	0.000752519303756053
ccaja_seguridad	0.00125456848616015	0.00982075627375336	0.00242114906425861
mv_mpagado	0.00114665790333528	0.00395460510015367	0.00382803297997644
mvr_msaldodolares2	0.00112876888408351	0.000975308372937658	0.00186493914409109
cpagomiscuentas	0.00109977966199635	0.00241794247395063	0.00359900536578982
Master_msaldopesos	0.00100045924341447	0.00207749877262668	0.0030427954456223
cseguro_accidentes_personales	0.000963585018757129	0.00668090976673502	0.00245386729485669
Master_msaldototal	0.000924256861987223	0.00186923488622743	0.00271561313964141
Master_mconsumospesos	0.000863227608163036	0.00265328795261727	0.00294464075382803
Visa_mconsumosdolares	0.000846077754352003	0.00124355991876809	0.00248658552545478
mv_status07	0.000804790079430992	0.000829967574124768	0.000752519303756053
mv_status04	0.000760670828078286	0.00047269051162438	0.000523491689569428
cextraccion_autoservicio	0.000756338083980292	0.00192326408001073	0.0033372595210051
Visa_mpagosdolares	0.000749503660251469	0.00219402846778019	0.0021266849888758
ccajas_trx	0.000714783916239806	0.00258158537871564	0.00088339222614841
mv_fultimo_cierre	0.000681480124042009	0.000985700901760953	0.00173406622169873
mv_status02	0.000646982729924369	0.00247672627801479	0.000719801073157964
Master_mconsumototal	0.000615865878795182	0.00209373020611961	0.00225755791126816
Visa_fultimo_cierre	0.000614602144350442	0.0010649646768376	0.00170134799110064
