fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220524 001359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	548	TRUE	0.0101394938167525	0.343616672093543	6165	1023	0.0150424020234772	13536000	70
20220524 001555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	657	TRUE	0.0135289100266807	0.477139877729494	4497	980	0.0168849802907988	13671000	71
20220524 001614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0750119467430653	0.324989381427498	4826	882	0.0142219760714822	13026000	72
20220524 001847	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1291	TRUE	0.0103635340198616	0.299674522452914	5975	762	0.0184169743673914	13417000	73
20220524 002010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	473	TRUE	0.0128230359221695	0.366816207973016	6051	543	0.0170427291924003	13798000	74
20220524 002020	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.281759861504215	0.351697309477174	6540	255	0.0163678498752767	12569000	75
20220524 002212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	875	TRUE	0.0102134725091786	0.234147262915209	3636	1018	0.0191218326828348	13176000	76
20220524 002255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0238177257341217	0.38181006478523	5869	973	0.0175678691142748	13426000	77
20220524 002313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0579663227899163	0.999849948439705	6296	354	0.0213006207647393	12798000	78
20220524 002443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	406	TRUE	0.0122521516123324	0.509613658603211	2646	81	0.0169837145501078	13866000	79
